feature,region,top_count,top_rate,base_rate,fold_enrichment,odds_ratio,p,q
7286,intergenic,58,0.58,0.20001333422228149,2.8998066666666666,5.612524683564792,6.258953644286107e-17,8.941362348980151e-16
7292,intergenic,79,0.79,0.20001333422228149,3.949736666666667,15.426256500546128,5.930646326002224e-37,1.7791938978006671e-35
7311,intergenic,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
7321,intergenic,49,0.49,0.20001333422228149,2.4498366666666667,3.8900206643145228,7.158577877967635e-11,7.111170077451294e-10
7363,utr5,60,0.6,0.20001333422228149,2.9998,6.101530612244898,1.8120180970436118e-18,2.6911159857083346e-17
7390,utr5,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
7439,intergenic,57,0.57,0.20001333422228149,2.8498099999999997,5.385202569755589,3.4601929528588233e-16,4.675936422782193e-15
7480,intergenic,72,0.72,0.20001333422228149,3.59976,10.51317330210773,2.8902888634936843e-29,6.56883832612201e-28
7491,intergenic,48,0.48,0.20001333422228149,2.3998399999999998,3.7357723577235773,2.7670099875998326e-10,2.6605865265383007e-09
7572,intergenic,73,0.73,0.20001333422228149,3.6497566666666668,11.058674663731036,2.6977124832282764e-30,6.322763632566273e-29
7603,utr5,39,0.39,0.20001333422228149,1.94987,2.577673692427791,9.00044793125116e-06,6.081383737331864e-05
7652,utr5,38,0.38,0.20001333422228149,1.8998733333333333,2.4700289690923745,2.338330328443679e-05,0.00015451521994121225
7662,utr5,51,0.51,0.20001333422228149,2.54983,4.217617871156601,4.257444251316257e-12,4.561547412124561e-11
7756,intergenic,99,0.99,0.20001333422228149,4.94967,409.4457083764219,1.3884924906504865e-68,1.735615613313108e-66
7757,intergenic,80,0.8,0.20001333422228149,3.9997333333333334,16.40958904109589,3.780780244306328e-38,1.2066319928637216e-36
7767,utr5,44,0.44,0.20001333422228149,2.1998533333333334,3.174487724724531,4.165498507714638e-08,3.490641207582099e-07
7981,intron,41,0.41,0.19994666311087406,2.05054684894965,2.8052681037347726,1.170955919445416e-06,8.645813355009845e-06
8082,intergenic,94,0.94,0.20001333422228149,4.699686666666667,64.65599908235833,2.016825931565733e-58,1.375108589703909e-56
8083,intergenic,84,0.84,0.20001333422228149,4.19972,21.574331275720166,3.2920412965387614e-43,1.2044053523922297e-41
8089,utr5,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
8111,intron,32,0.32,0.19994666311087406,1.600426808936312,1.8925038164912071,0.003022945755957822,0.015996766623188427
8176,intergenic,49,0.49,0.20001333422228149,2.4498366666666667,3.8900206643145228,7.158577877967635e-11,7.111170077451294e-10
8186,utr5,62,0.62,0.20001333422228149,3.0997933333333334,6.642381140052309,4.44647421145177e-20,7.329353095799621e-19
8200,intergenic,76,0.76,0.20001333422228149,3.7997466666666666,12.968821249430004,1.6148016365707642e-33,4.249477990975695e-32
8210,utr3,32,0.32,0.20001333422228149,1.5998933333333334,1.8917076264468051,0.003039385658405801,0.015996766623188427
8219,intergenic,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
8264,utr3,56,0.56,0.20001333422228149,2.7998133333333337,5.168292984189724,1.837150048230612e-15,2.438694754288423e-14
8292,intergenic,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
8301,intron,28,0.28,0.19994666311087406,1.4003734578192732,1.5613149332435767,0.033572260595614835,0.14121389479400706
8306,intergenic,79,0.79,0.20001333422228149,3.949736666666667,15.426256500546128,5.930646326002224e-37,1.7791938978006671e-35
8346,exon,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
8396,utr3,40,0.4,0.20001333422228149,1.9998666666666667,2.688963963963964,3.3272795345338815e-06,2.3431546017844236e-05
8415,intergenic,35,0.35,0.20001333422228149,1.7498833333333332,2.167284991568297,0.00032110327098273,0.0018741436049575682
8450,intergenic,37,0.37,0.20001333422228149,1.8498766666666666,2.3658561410839507,5.8333667219193604e-05,0.00037076483402029834
8506,intergenic,44,0.44,0.20001333422228149,2.1998533333333334,3.174487724724531,4.165498507714638e-08,3.490641207582099e-07
8573,intergenic,100,1.0,0.20001333422228149,4.999666666666666,inf,3.348863789917915e-71,8.372159474794789e-69
8609,intergenic,85,0.85,0.20001333422228149,4.249716666666666,23.296512292738708,1.502532357546072e-44,6.2605514897753e-43
8630,utr3,41,0.41,0.20001333422228149,2.049863333333333,2.8040852097307267,1.1815944918513455e-06,8.645813355009845e-06
8715,intergenic,69,0.69,0.20001333422228149,3.4497699999999996,9.088519826988477,2.657267134906852e-26,5.6941438605146825e-25
8781,intergenic,70,0.7,0.20001333422228149,3.4997666666666665,9.531626848691696,2.865777242474993e-27,6.321567446636014e-26
8872,utr5,26,0.26,0.20001333422228149,1.2999133333333335,1.4088314945746014,0.08681532346707785,0.32967844354586523
8927,intergenic,64,0.64,0.20001333422228149,3.199786666666667,7.24371783227369,9.219087102227432e-22,1.6079803085280405e-20
8963,intergenic,60,0.6,0.20001333422228149,2.9998,6.101530612244898,1.8120180970436118e-18,2.6911159857083346e-17
8986,intergenic,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
8994,utr3,31,0.31,0.20001333422228149,1.5498966666666667,1.8052728435378134,0.0059117402223325035,0.028697768069575257
9043,exon,46,0.46,0.20001333422228149,2.299846666666667,3.4446074374984326,3.6735515006603255e-09,3.2799566970181476e-08
9046,exon,34,0.34,0.20001333422228149,1.6998866666666668,2.0725903676004824,0.0007081647293988662,0.004008479600370941
9077,intergenic,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
9112,intergenic,94,0.94,0.20001333422228149,4.699686666666667,64.65599908235833,2.016825931565733e-58,1.375108589703909e-56
9129,utr3,28,0.28,0.20001333422228149,1.3999066666666669,1.5606587408404367,0.033703049557503015,0.14121389479400706
9138,intergenic,75,0.75,0.20001333422228149,3.74975,12.281025641025641,2.0189661919015565e-32,5.221464289400577e-31
9180,intergenic,52,0.52,0.20001333422228149,2.599826666666667,4.391762777023971,9.786206764678622e-13,1.1037075298509724e-11
9198,utr5,37,0.37,0.20001333422228149,1.8498766666666666,2.3658561410839507,5.8333667219193604e-05,0.00037076483402029834
9235,intron,34,0.34,0.19994666311087406,1.7004534844948318,2.073463130461444,0.0007037780328701493,0.004008479600370941
9253,intron,36,0.36,0.19994666311087406,1.800480160053351,2.2659466756665543,0.00013872532932979027,0.0008518399163323278
9288,intergenic,97,0.97,0.20001333422228149,4.849676666666666,133.61028820760134,3.855340194973844e-64,3.401770760271039e-62
9310,utr3,53,0.53,0.20001333422228149,2.6498233333333334,4.573392342735851,2.1622344323155772e-13,2.574088609899497e-12
9429,utr5,67,0.67,0.20001333422228149,3.349776666666667,8.28319333808594,1.9895116446324997e-24,3.875672034998376e-23
9491,intergenic,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
9494,exon,43,0.43,0.20001333422228149,2.1498566666666665,3.046627390254466,1.3218829124794374e-07,1.0491134226027281e-06
9549,utr3,42,0.42,0.20001333422228149,2.09986,2.923235643841365,4.031623645881632e-07,3.11723477774353e-06
